Transaction_Amount,Transaction_Hour,Location_Change,Device_Mismatch,Transaction_Velocity,Account_Age_Days,AvgTransaction_Last30Days,Amount_To_Average_Ratio,User_Income_Estimate,Device_OS,Customer_Marital_Status,RESULT
93815,2,1,1,10,82,47082,1.99,197330.0,1,3,1
104113,11,0,1,5,1966,32195,3.23,71797.0,2,0,0
112475,14,0,0,5,1557,12188,9.23,276440.5,1,1,0
2524,18,1,0,3,1279,68115,0.04,319514.0,1,1,0
67903,3,0,1,6,3,18566,3.66,349966.0,1,0,1
107912,22,0,0,5,1485,27333,3.95,459174.0,1,0,0
102442,2,1,1,7,46,69289,1.48,276440.5,3,3,1
48463,17,0,1,1,2552,82605,0.59,182053.0,2,1,0
43936,8,0,1,4,1897,89511,0.49,276440.5,3,2,0
158669,13,0,0,3,1902,50610,3.14,231879.0,1,2,0
182479,13,1,0,0,1541,80846,2.26,462167.0,0,3,0
146805,16,0,0,3,1578,35580,4.13,276440.5,0,3,0
152918,14,0,0,2,2494,53328,2.87,270172.0,3,3,0
25801,19,0,0,4,1603,46457,0.56,260813.0,1,2,0
132276,12,0,1,2,2006,14566,9.08,450717.0,3,3,0
2345,14,0,0,2,1460,39404,0.06,72564.0,1,3,0
147898,3,1,1,8,64,76074,1.94,464915.0,1,1,1
109121,6,0,0,3,1376,39297,2.78,158304.0,3,1,0
105459,21,0,0,1,1425,56630,1.86,276440.5,3,0,0
77086,4,0,1,8,54,43174,1.79,389112.0,2,3,1
135063,14,0,0,0,2281,30465,4.43,491371.0,2,3,0
88393,17,0,0,0,2974,87938,1.01,232177.0,0,0,0
192622,9,1,0,4,781,12867,14.97,259614.0,2,3,0
4829,23,0,0,1,1491,88984,0.05,437316.0,1,2,0
151069,1,1,1,11,48,30801,4.9,268359.0,1,2,1
285637,0,1,1,5,27,81759,3.49,276440.5,1,2,1
13892,19,0,0,3,940,54451,0.26,276440.5,2,3,0
175223,0,0,1,10,81,41719,4.2,98737.0,2,3,1
157271,0,1,1,8,60,88817,1.77,492113.0,3,2,1
88245,13,1,1,3,2869,88766,0.99,489707.0,0,2,0
270013,0,0,0,7,1,20376,13.25,325261.0,2,3,1
187953,4,1,0,2,1034,36695,5.12,276440.5,3,1,0
365377,2,1,0,5,26,88533,4.13,475165.0,2,0,1
248382,1,1,0,9,20,8145,30.49,147289.0,1,3,1
139374,23,0,0,0,1752,50344,2.77,434963.0,1,0,0
150586,8,0,0,2,2994,8512,17.69,449282.0,1,3,0
163072,23,0,0,4,2150,89954,1.81,314531.0,3,3,0
187732,9,0,0,2,2437,45379,4.14,276440.5,1,3,0
123071,0,1,0,6,74,91479,1.35,148752.0,1,0,1
186080,1,0,1,9,85,65263,2.85,276440.5,2,3,1
99752,8,0,0,2,1493,56142,1.78,214944.0,0,1,0
160948,4,0,0,2,1874,31863,5.05,355525.0,1,2,0
29048,4,0,1,5,1896,90180,0.32,276440.5,2,0,0
104455,12,0,0,1,2201,27940,3.74,225112.0,3,2,0
168894,10,0,0,5,1186,99266,1.7,321380.0,3,0,0
73097,8,0,0,2,1219,49153,1.49,222349.0,2,3,0
350646,3,1,0,6,53,94157,3.72,270319.0,1,3,1
106211,10,1,1,1,1637,45178,2.35,420283.0,0,0,0
104345,2,0,0,1,370,77354,1.35,391781.0,1,2,0
136600,21,1,0,4,2254,44879,3.04,467983.0,2,1,0
117853,1,0,0,3,211,7696,15.31,365983.0,2,1,0
139241,0,0,1,5,38,15002,9.28,309853.0,1,0,1
323534,4,0,1,6,46,44309,7.3,327768.0,1,1,1
10466,6,1,0,3,929,83183,0.13,284624.0,3,3,0
5459,16,0,0,3,2729,60046,0.09,283265.0,0,3,0
95093,14,0,0,0,1639,21772,4.37,491802.0,1,3,0
52443,4,0,0,0,953,87979,0.6,488350.0,1,0,0
26374,21,1,0,0,2065,9112,2.89,276440.5,3,0,0
189932,17,0,0,5,1419,72641,2.61,158049.0,1,0,0
153283,16,1,0,4,1966,83930,1.83,236988.0,2,3,0
1567,2,0,1,2,694,25773,0.06,83939.0,1,1,0
180171,2,0,0,3,1850,76745,2.35,224220.0,1,3,0
306445,1,1,0,10,51,46205,6.63,454311.0,3,2,1
114083,11,0,0,1,1900,92110,1.24,170120.0,1,3,0
29062,23,0,0,3,1741,31883,0.91,252499.0,0,3,0
167416,8,0,0,4,2576,65746,2.55,276440.5,1,1,0
371165,3,0,1,6,44,8307,44.68,276440.5,0,1,1
171005,6,0,0,1,2807,20389,8.39,324462.0,0,0,0
180447,15,0,0,2,2672,14321,12.6,276440.5,1,3,0
269365,2,1,1,11,67,30727,8.77,465775.0,2,2,1
74320,6,0,0,1,1661,75047,0.99,276440.5,2,3,0
4381,20,0,0,1,2468,75320,0.06,367057.0,0,3,0
188598,10,0,1,2,1444,22950,8.22,276440.5,3,0,0
5007,19,0,1,3,1754,30530,0.16,291348.0,1,2,0
15805,9,0,1,1,2982,96378,0.16,180436.0,3,1,0
89863,1,0,1,1,2135,42403,2.12,218265.0,2,0,0
135402,16,1,0,3,851,46850,2.89,412803.0,0,2,0
346867,3,1,0,10,9,26311,13.18,284315.0,0,0,1
69680,7,1,0,1,1522,81868,0.85,491157.0,1,2,0
43256,18,0,0,3,1874,86512,0.5,276440.5,3,3,0
63803,14,0,0,5,300,35008,1.82,399787.0,0,1,0
59204,9,0,0,2,424,94609,0.63,96698.0,0,3,0
1610,2,0,1,2,1773,52801,0.03,426156.0,2,1,0
96585,17,0,0,4,1367,28027,3.45,276440.5,1,1,0
57378,22,0,0,3,1226,31875,1.8,205586.0,2,2,0
154152,1,1,0,0,287,12814,12.03,486370.0,0,3,0
139423,0,0,0,3,422,67805,2.06,424557.0,0,2,0
15007,19,0,1,1,2701,44423,0.34,153612.0,1,3,0
86620,1,0,0,4,410,41725,2.08,363678.0,3,0,0
125691,0,0,0,0,1886,57433,2.19,321855.0,3,1,0
240334,1,0,1,11,40,86924,2.76,276440.5,0,3,1
150354,6,0,1,5,2494,40342,3.73,135745.0,1,3,0
152549,20,0,0,2,1390,32075,4.76,270587.0,1,3,0
162374,1,0,0,3,379,85291,1.9,402594.0,0,0,0
216664,4,1,1,9,79,12925,16.76,315251.0,0,1,1
136388,2,1,1,5,7,12883,10.59,462924.0,3,1,1
46721,13,0,0,3,97,98885,0.47,129538.0,0,3,0
62514,3,0,1,5,1631,50538,1.24,359454.0,2,3,0
454124,2,1,0,6,48,84183,5.39,110282.0,2,0,1
58749,0,0,0,0,2437,83860,0.7,276440.5,2,2,0
5420,15,0,0,3,2286,68179,0.08,449666.0,1,2,0
53256,18,0,0,5,1562,71635,0.74,335369.0,1,2,0
199745,5,0,1,2,2396,9521,20.98,276440.5,1,3,0
300885,3,1,0,6,56,45799,6.57,103257.0,2,3,1
436134,1,0,0,10,78,68908,6.33,276440.5,1,2,1
192467,16,0,0,5,2528,46576,4.13,414692.0,3,1,0
151299,19,0,0,2,2344,79180,1.91,288986.0,1,2,0
32144,17,0,0,5,2821,16202,1.98,421551.0,3,2,0
173757,7,0,0,0,1576,29575,5.87,276440.5,2,1,0
353374,0,1,1,6,42,40059,8.82,51532.0,1,2,1
152666,4,0,1,11,73,80188,1.9,467766.0,0,1,1
449605,1,1,1,11,48,41509,10.83,391561.0,3,2,1
49737,22,0,0,3,2441,46091,1.08,254196.0,2,3,0
1403,0,0,0,4,1316,39052,0.04,148993.0,1,1,0
87563,14,0,0,4,375,29064,3.01,436133.0,2,3,0
308897,4,1,1,5,28,71063,4.35,276440.5,1,3,1
36264,11,0,0,4,793,71198,0.51,337084.0,0,1,0
107918,16,0,0,5,1372,70296,1.54,194572.0,3,0,0
66341,22,1,0,5,1555,94772,0.7,290839.0,3,2,0
99206,5,0,0,1,2740,62520,1.59,276440.5,2,3,0
55312,12,0,0,2,303,6617,8.36,276440.5,1,2,0
101334,5,0,1,3,601,42850,2.36,171548.0,1,0,0
32286,20,0,0,5,1791,13496,2.39,170522.0,1,3,0
143842,8,1,1,5,1114,24359,5.9,451914.0,3,2,0
171064,18,1,0,2,1040,36645,4.67,265886.0,0,3,0
57130,11,0,0,5,1545,57236,1.0,56265.0,0,3,0
126111,6,0,0,4,854,31998,3.94,141426.0,0,2,0
192911,2,0,0,1,2956,60597,3.18,276440.5,2,0,0
97875,5,0,0,1,2560,66331,1.48,145057.0,1,3,0
152101,14,0,0,4,2350,6908,22.01,473574.0,1,3,0
30912,8,1,0,5,1178,45449,0.68,339101.0,2,3,0
217967,3,1,0,10,20,30176,7.22,199481.0,0,0,1
57467,13,0,0,4,2153,55281,1.04,480362.0,1,3,0
48731,8,0,0,4,1194,20169,2.42,75968.0,2,3,0
137957,4,0,0,2,1040,13250,10.41,118354.0,2,2,0
36868,13,0,0,0,2135,44023,0.84,434412.0,1,3,0
190839,0,0,0,1,107,94438,2.02,402186.0,1,3,0
83598,15,0,0,5,617,23443,3.57,59290.0,3,1,0
443427,2,1,1,10,9,22716,19.52,276440.5,0,0,1
14121,4,0,0,2,2228,50511,0.28,365387.0,1,0,0
427275,2,1,1,10,58,98430,4.34,164921.0,1,0,1
92229,3,0,0,2,127,43349,2.13,281343.0,1,2,0
465168,4,0,0,10,10,19633,23.69,112244.0,2,3,1
129677,11,0,0,2,2917,80379,1.61,283553.0,1,0,0
40479,1,0,0,1,879,5594,7.23,457609.0,2,1,0
166952,0,0,0,3,855,41126,4.06,130382.0,3,3,0
165254,20,0,0,4,239,22430,7.37,478787.0,3,3,0
54986,14,0,0,4,641,13486,4.08,264135.0,1,3,0
50107,17,1,0,4,1811,59532,0.84,302134.0,2,1,0
43836,6,1,0,1,2973,20589,2.13,86375.0,0,1,0
43585,8,0,0,2,2400,64720,0.67,459962.0,2,0,0
29014,11,0,0,1,1914,49845,0.58,459146.0,2,0,0
304259,1,0,1,9,68,40139,7.58,286444.0,3,0,1
364596,3,0,1,9,82,14840,24.57,352912.0,1,0,1
452677,1,0,1,7,86,92073,4.92,299894.0,1,0,1
34870,16,0,0,4,2738,77439,0.45,68242.0,1,2,0
181826,17,0,0,0,1345,65301,2.78,191503.0,3,1,0
401771,3,1,1,8,39,52387,7.67,233999.0,2,1,1
9804,8,0,1,4,1072,44244,0.22,449158.0,1,3,0
100697,2,0,0,9,41,9942,10.13,97419.0,1,1,1
414236,1,0,1,11,28,61332,6.75,220491.0,3,3,1
271648,3,0,1,7,56,39142,6.94,276440.5,1,1,1
96726,1,0,0,4,886,67969,1.42,86660.0,1,2,0
89744,22,1,0,2,1251,45168,1.99,183451.0,2,3,0
276845,4,1,0,10,64,14748,18.77,73424.0,1,3,1
155486,19,0,0,5,2863,94119,1.65,87049.0,0,2,0
28321,21,0,0,2,1808,12169,2.33,483345.0,3,3,0
97945,22,0,0,3,2972,38766,2.53,344563.0,1,1,0
328812,4,1,1,9,16,73079,4.5,340846.0,2,0,1
94869,17,0,0,2,2641,31543,3.01,168576.0,2,2,0
117919,9,0,1,1,2134,67175,1.76,56834.0,2,2,0
18679,11,0,0,1,1394,93867,0.2,220310.0,3,3,0
46525,14,0,0,0,297,17420,2.67,497826.0,1,3,0
317459,1,1,0,11,9,65972,4.81,276440.5,2,3,1
56419,22,0,0,4,2989,25551,2.21,380350.0,1,2,0
75400,8,0,1,5,2655,69771,1.08,470700.0,1,0,0
390009,2,1,0,11,85,14901,26.17,368521.0,2,0,1
83410,6,0,0,3,1916,75393,1.11,328456.0,2,0,0
1936,17,0,0,2,245,58177,0.03,452521.0,2,0,0
33146,6,0,0,3,743,9158,3.62,124236.0,1,1,0
76567,23,0,1,5,1384,48888,1.57,276440.5,1,3,0
5299,3,0,0,5,415,41534,0.13,343812.0,2,1,0
185183,0,1,1,9,27,49104,3.77,55316.0,1,3,1
88130,2,0,1,8,32,70961,1.24,446260.0,0,1,1
113165,0,0,0,11,64,58149,1.95,446222.0,2,2,1
384705,0,0,0,11,58,78638,4.89,384796.0,0,1,1
13437,22,0,0,3,2537,64919,0.21,276440.5,1,1,0
199133,15,0,1,0,470,20819,9.56,276440.5,0,0,0
439925,3,1,1,10,40,61503,7.15,160782.0,3,3,1
131275,9,0,0,3,562,18690,7.02,338056.0,2,2,0
6973,18,0,0,1,2742,68427,0.1,243073.0,3,3,0
242796,0,1,1,11,60,85107,2.85,241134.0,0,1,1
377572,3,1,1,9,26,95725,3.94,271746.0,1,0,1
7063,19,1,0,5,2058,28528,0.25,472618.0,2,2,0
4852,16,0,0,5,2324,12504,0.39,499794.0,2,0,0
189781,7,0,0,1,2146,85221,2.23,276440.5,3,0,0
9224,5,0,0,5,1523,7596,1.21,329311.0,3,2,0
88344,11,1,1,4,2680,47002,1.88,276440.5,1,1,0
24522,10,1,0,2,202,8526,2.88,272869.0,1,1,0
44861,22,0,0,3,1757,63465,0.71,197745.0,0,3,0
23895,2,0,0,2,806,61416,0.39,403656.0,2,3,0
140330,1,0,0,3,2733,19281,7.28,465505.0,0,2,0
136626,20,0,0,1,730,9257,14.76,276440.5,1,3,0
154055,20,0,1,2,349,37076,4.16,130337.0,1,3,0
165827,4,1,1,11,27,92995,1.78,90658.0,3,3,1
190756,0,0,1,0,622,45533,4.19,276440.5,3,2,0
69082,15,1,0,3,902,73340,0.94,191248.0,1,1,0
135508,6,1,1,5,264,90125,1.5,235409.0,1,3,0
436440,3,1,0,9,43,22458,19.43,276440.5,0,2,1
65882,15,0,0,2,2645,21208,3.11,216250.0,3,3,0
140611,14,1,0,2,993,31862,4.41,470489.0,2,0,0
94449,4,0,0,5,2455,77204,1.22,448216.0,1,2,0
57572,19,0,0,4,2938,82755,0.7,380927.0,1,2,0
184081,11,0,0,3,1127,53402,3.45,189334.0,2,3,0
142638,2,0,0,2,195,22153,6.44,109353.0,3,0,0
52592,3,0,0,5,305,51172,1.03,316499.0,1,1,0
34201,18,0,0,2,2509,13261,2.58,185546.0,1,2,0
141414,3,0,0,6,77,15663,9.03,459336.0,0,1,1
154312,19,0,0,3,2815,51627,2.99,451519.0,1,0,0
49834,20,1,0,5,2112,36253,1.37,205302.0,0,3,0
235046,1,1,1,6,74,82661,2.84,432617.0,3,0,1
21498,4,0,0,0,1089,72173,0.3,261278.0,2,3,0
39234,15,0,0,2,567,72902,0.54,434391.0,3,3,0
150482,15,0,1,3,2600,37780,3.98,276440.5,1,1,0
197071,10,0,0,4,346,96005,2.05,108528.0,2,3,0
170631,2,0,0,6,21,19877,8.58,309673.0,2,3,1
467939,2,1,1,8,25,34974,13.38,77371.0,0,2,1
99246,0,1,0,1,2323,39984,2.48,276440.5,3,3,0
175863,12,0,0,0,250,20648,8.52,111779.0,1,3,0
106871,0,0,0,4,1713,26966,3.96,457010.0,1,0,0
162995,22,0,0,4,220,57714,2.82,248107.0,1,3,0
24314,10,0,1,4,1797,6769,3.59,354422.0,2,0,0
178566,18,1,0,4,465,53285,3.35,443005.0,3,1,0
187071,20,0,1,5,2707,83609,2.24,257979.0,1,3,0
142798,4,1,0,1,343,9965,14.33,276440.5,1,3,0
188849,3,0,0,0,2983,92943,2.03,338727.0,0,2,0
299105,2,1,1,11,13,83461,3.58,163114.0,0,0,1
102989,9,0,1,1,2425,75112,1.37,294348.0,1,1,0
132072,19,0,0,2,2053,94716,1.39,56613.0,2,1,0
110533,15,0,0,2,1678,54057,2.04,331090.0,1,1,0
152119,21,0,1,1,549,40162,3.79,83434.0,1,3,0
22602,0,0,0,3,1464,28659,0.79,290879.0,1,3,0
105163,16,0,0,1,2744,45382,2.32,340328.0,3,3,0
201171,2,0,1,10,73,26148,7.69,81828.0,2,3,1
68540,22,0,0,5,1454,93636,0.73,214763.0,3,0,0
115658,5,0,0,3,2141,37486,3.09,473556.0,2,3,0
50800,14,1,0,5,1433,61550,0.83,256769.0,1,2,0
77455,21,1,0,0,2536,43233,1.79,334839.0,1,3,0
176440,1,1,1,7,77,24861,7.1,467341.0,3,1,1
140941,17,1,0,0,262,73089,1.93,327633.0,1,1,0
60289,5,0,0,4,1462,8051,7.49,219162.0,2,1,0
29305,2,0,0,2,715,82982,0.35,318448.0,0,2,0
43467,0,1,0,5,521,55155,0.79,167771.0,2,3,0
76342,22,0,0,4,2176,68327,1.12,276440.5,2,1,0
103105,2,0,0,0,1609,46730,2.21,194457.0,2,3,0
123752,14,0,0,5,2275,69435,1.78,113944.0,1,1,0
163105,22,0,0,3,883,87597,1.86,399973.0,0,3,0
133133,21,0,0,0,1228,91066,1.46,268480.0,0,3,0
159902,11,0,0,0,939,41734,3.83,354981.0,3,3,0
118012,2,1,0,5,843,26832,4.4,445084.0,1,0,0
115369,9,0,0,5,2395,23940,4.82,175019.0,0,3,0
136852,20,0,0,4,1890,23405,5.85,52821.0,1,0,0
55590,20,0,0,4,2334,97554,0.57,276440.5,3,1,0
286579,1,1,1,8,18,89224,3.21,378333.0,3,2,1
139701,18,0,0,5,2266,42204,3.31,429689.0,0,1,0
173812,19,0,1,5,2400,66589,2.61,63944.0,1,2,0
101541,12,0,0,1,1927,81922,1.24,276440.5,0,3,0
110088,0,1,0,2,2125,42693,2.58,239802.0,3,1,0
89670,20,0,0,5,2717,54336,1.65,66905.0,1,3,0
30773,7,1,0,2,2438,69320,0.44,178993.0,0,1,0
323474,0,1,1,6,58,22044,14.67,481508.0,3,2,1
122804,2,0,0,0,673,41368,2.97,170648.0,1,3,0
71315,5,0,0,5,372,84566,0.84,138257.0,1,0,0
48570,14,0,0,5,1483,42664,1.14,442070.0,2,2,0
1793,11,1,0,5,2270,26747,0.07,287528.0,3,1,0
161701,5,0,0,0,563,5058,31.96,408315.0,1,1,0
195906,1,1,1,11,4,29660,6.6,289101.0,1,0,1
3174,20,0,0,2,218,7076,0.45,178544.0,1,3,0
495558,3,0,1,5,6,28216,17.56,276440.5,0,1,1
342428,3,1,1,9,31,38700,8.85,91516.0,1,3,1
16077,10,0,0,4,1781,26236,0.61,378784.0,2,2,0
83690,22,1,0,2,717,52728,1.59,327022.0,0,1,0
129425,2,0,1,1,1686,97721,1.32,435145.0,0,2,0
193698,0,0,0,0,2079,39129,4.95,336656.0,2,3,0
102577,23,0,0,3,1610,78511,1.31,60960.0,0,0,0
122289,8,0,1,3,2575,80096,1.53,359596.0,2,3,0
41598,3,0,1,0,1405,86993,0.48,307798.0,3,1,0
143875,13,0,0,4,1240,11967,12.02,449877.0,1,0,0
127952,0,0,1,7,65,42696,3.0,120246.0,0,0,1
170464,0,0,0,5,2653,6238,27.32,171270.0,0,2,0
431355,0,1,1,6,52,29668,14.54,389403.0,0,3,1
112692,0,0,0,0,1391,88481,1.27,203305.0,2,0,0
60808,19,0,0,5,2208,5663,10.74,112408.0,2,3,0
52286,23,0,0,2,1661,88443,0.59,90821.0,0,1,0
116175,6,0,0,5,1298,49653,2.34,394162.0,3,3,0
412736,2,1,1,6,67,25343,16.29,261470.0,0,3,1
172804,17,0,1,4,1265,36066,4.79,169599.0,3,2,0
279789,2,1,1,7,84,37959,7.37,276440.5,3,3,1
80211,3,0,0,5,195,34190,2.35,276440.5,1,3,0
97569,4,0,0,4,2211,22412,4.35,422174.0,0,3,0
336801,0,1,1,10,72,56030,6.01,248879.0,0,2,1
51607,3,0,1,11,82,86844,0.59,317606.0,3,3,1
428976,3,0,0,5,7,53242,8.06,276440.5,0,3,1
2283,6,0,0,4,2770,99231,0.02,276440.5,2,1,0
179658,18,1,1,1,2641,39720,4.52,199151.0,0,0,0
460554,3,0,0,6,11,31720,14.52,325512.0,2,1,1
185885,1,0,0,2,1251,61831,3.01,413399.0,0,2,0
370217,2,0,1,11,9,72271,5.12,336459.0,1,1,1
329566,1,1,1,9,63,37743,8.73,276440.5,2,2,1
10608,2,0,0,0,2104,24929,0.43,395277.0,1,3,0
192195,2,1,1,11,39,35881,5.36,330553.0,0,1,1
498632,3,0,1,5,1,49864,10.0,230763.0,0,3,1
72535,19,0,0,2,1540,31520,2.3,276440.5,1,2,0
327928,4,1,1,9,14,66217,4.95,412812.0,0,3,1
158404,2,0,0,1,1149,61210,2.59,495170.0,2,1,0
161145,4,1,0,8,12,48950,3.29,276440.5,0,3,1
144407,11,0,0,2,2171,38519,3.75,205232.0,0,3,0
439168,1,0,1,9,5,72519,6.06,402570.0,0,2,1
15129,0,0,0,1,727,56466,0.27,336487.0,0,3,0
43595,6,0,1,1,2568,47926,0.91,384734.0,0,3,0
482043,1,0,0,8,4,35486,13.58,199712.0,2,3,1
98194,15,0,0,3,1342,86526,1.13,347399.0,0,2,0
193701,19,1,0,5,1733,28729,6.74,333962.0,0,2,0
115555,3,0,1,6,3,14820,7.8,475966.0,3,3,1
420266,4,1,1,7,71,87201,4.82,112325.0,3,3,1
26100,18,0,0,0,951,35394,0.74,195468.0,0,2,0
154896,17,0,0,0,2434,8194,18.9,344542.0,0,1,0
5289,7,0,0,5,491,5129,1.03,276440.5,1,1,0
45831,15,0,0,1,2876,57249,0.8,364808.0,1,2,0
9333,18,0,0,1,847,51647,0.18,376198.0,0,2,0
1799,17,0,0,5,1557,89971,0.02,410874.0,2,3,0
368442,3,0,1,10,16,71909,5.12,384762.0,1,3,1
75532,4,0,1,7,30,81708,0.92,276440.5,1,3,1
498692,2,1,1,6,85,70206,7.1,60934.0,2,3,1
31223,0,0,0,2,852,93675,0.33,291630.0,0,3,0
148960,17,1,1,4,776,26021,5.72,274310.0,0,0,0
53276,12,0,0,4,174,87604,0.61,144452.0,1,3,0
134491,12,0,0,2,1246,40829,3.29,276440.5,1,3,0
196975,5,0,0,4,1650,86548,2.28,483886.0,0,0,0
248675,3,0,0,9,84,39841,6.24,276440.5,1,2,1
181118,4,0,1,5,1196,32425,5.59,288117.0,0,3,0
121418,20,0,0,5,375,16957,7.16,384788.0,1,1,0
185188,14,0,0,2,1866,35215,5.26,499535.0,0,1,0
255714,4,0,0,7,19,21025,12.16,59780.0,1,3,1
23206,4,0,0,3,2380,8975,2.59,304477.0,3,2,0
75638,23,0,0,2,2307,33830,2.24,422220.0,1,0,0
178317,17,0,0,5,137,99583,1.79,239243.0,0,3,0
138219,18,0,0,3,2179,7056,19.59,304770.0,3,2,0
